top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузите компьютер.",0.695,0.619,0.065,0.159,0.000611,2026-05-12T19:02:07.365619
3,test_2608,Как безопасно удалить файлы?,Используйте специализированные утилиты для безопасного удаления файлов или обратитесь в IT-отдел. Обычное удаление не стирает данные полностью.,0.404,0.255,0.043,0.138,0.000667,2026-05-12T19:02:08.312679
3,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.052,0.147,0.000275,2026-05-12T19:02:09.159509
3,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.088,0.179,0.000691,2026-05-12T19:02:09.879531
3,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.046,0.142,0.000249,2026-05-12T19:02:10.627964
3,test_2612,Не работает копирование/вставка.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.247,0.059,0.032,0.128,0.000234,2026-05-12T19:02:12.033506
3,test_2613,Как очистить историю браузера?,"Для очистки истории браузера воспользуйтесь следующими сочетаниями клавиш:
- Chrome: Ctrl+H → Очистить историю.
- Firefox: Ctrl+Shift+Del.
- Edge: Ctrl+H → Очистить данные просмотра. 

Выберите нужный период и типы данных для удаления.",0.426,0.283,0.061,0.155,0.00011,2026-05-12T19:02:13.251800
3,test_2614,Не печатается PDF-файл.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.248,0.06,0.022,0.12,0.000249,2026-05-12T19:02:14.428468
3,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.039,0.135,0.000258,2026-05-12T19:02:15.350152
3,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш. Если проблема не решается, обратитесь в Service Desk или уточните в IT, не ведутся ли технические работы.",0.355,0.194,0.047,0.142,0.000271,2026-05-12T19:02:16.263589
3,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, откройте нужный раздел (например, «Клиенты», «Сделки», «Задачи»), при необходимости примените фильтры, затем нажмите «Экспорт», выберите формат файла (Excel или CSV), настройте поля для экспорта и сохраните файл. Экспорт больших объёмов данных может занять некоторое время.",0.31,0.137,0.098,0.188,0.000181,2026-05-12T19:02:17.561453
3,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Или обратитесь в Service Desk для сброса пароля.,0.45,0.312,0.065,0.158,0.000252,2026-05-12T19:02:18.436571
3,test_2619,Как создать правило сортировки писем?,"В Outlook: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.06,0.154,0.00029,2026-05-12T19:02:19.292557
3,test_2620,Как подключить корпоративную почту на телефон?,"Откройте приложение почты и добавьте новую учётную запись. Выберите Exchange или Office 365, введите email и пароль. Разрешите настройку устройства, если требуется, и настройте уведомления.

Или:

Перейдите в «Настройки» → «Почта» → «Добавить учётную запись» → «Exchange», введите email и пароль. Сервер настроится автоматически, если нет — обратитесь в IT.",0.379,0.224,0.101,0.191,0.000268,2026-05-12T19:02:20.635637
3,test_2621,Потерял корпоративный телефон.,"Немедленно сообщите в Service Desk и службу безопасности, чтобы они могли заблокировать ваш корпоративный телефон удалённо. Также рекомендуется сменить пароли и проверить последние действия, выполненные с устройства.",0.28,0.1,0.039,0.135,0.00026,2026-05-12T19:02:21.522793
3,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, выполните следующие действия: установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.569,0.462,0.135,0.222,0.000326,2026-05-12T19:02:22.436631
3,test_2622,Телефон не синхронизирует контакты.,"Проверьте настройки синхронизации в учётной записи Exchange. Включите синхронизацию контактов, также можно попробовать переподключить учётную запись.",0.345,0.182,0.035,0.132,0.000273,2026-05-12T19:02:23.150829
3,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.03,0.127,0.000246,2026-05-12T19:02:23.890097
3,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.129,0.216,0.00071,2026-05-12T19:02:24.620253
3,test_2624,Медленный интернет.,"Проверьте скорость через speedtest.net. Закройте программы, использующие трафик (торренты, обновления). Проверьте, не перегружена ли сеть в офисе.",0.467,0.333,0.012,0.111,0.000125,2026-05-12T19:02:25.486907
3,test_2625,Как настроить общий доступ к папке в сети?,"Правой кнопкой мыши нажмите на папку, выберите «Свойства», затем «Доступ», далее «Расширенная настройка» и «Открыть общий доступ». Настройте разрешения для пользователей.",0.331,0.164,0.122,0.21,0.00025,2026-05-12T19:02:26.340585
3,test_2241,"Не открывается сайт, ошибка 404.","Проверьте правильность URL. Очистите кэш браузера. Попробуйте открыть сайт в другом браузере. Если сайт недоступен у всех — возможно, он удалён или перемещён.",0.745,0.682,0.062,0.156,0.000731,2026-05-12T19:02:27.234971
3,test_2626,Какие часы работы IT-поддержки?,IT-поддержка работает с 9:00 до 18:00 в рабочие дни. В экстренных случаях доступна горячая линия 24/7. Номер указан на портале Service Desk.,0.458,0.323,0.025,0.123,0.000308,2026-05-12T19:02:28.342989
3,test_2627,Можно ли хранить рабочие файлы в личном облаке?,"Нет, хранение корпоративных данных в личных облачных хранилищах запрещено. Используйте только корпоративные ресурсы (OneDrive, SharePoint).",0.44,0.3,0.076,0.168,0.00023,2026-05-12T19:02:29.154528
3,test_2300,Как решить проблему с замена картриджа?,По вопросу замены картриджа обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.084,0.176,0.000362,2026-05-12T19:02:29.992257
3,test_2302,Как решить проблему с настройка сканирования?,По вопросу настройки сканирования обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.084,0.176,0.000643,2026-05-12T19:02:31.077839
3,test_2628,Какие устройства разрешены для работы?,"Только устройства, одобренные IT-отделом и соответствующие требованиям безопасности, разрешены для работы. Список таких устройств доступен на корпоративном портале.",0.4,0.25,0.063,0.157,0.000295,2026-05-12T19:02:31.969847
3,test_2629,Печать идет медленно.,"Чтобы ускорить печать, попробуйте уменьшить качество печати в свойствах принтера, выбрав режим «черновик» вместо «высокого качества». Также проверьте, не печатает ли кто-то другой большие документы, и обновите драйвер принтера.",0.421,0.276,0.016,0.115,0.000689,2026-05-12T19:02:32.924954
3,test_2304,Как решить проблему с сетевая печать?,"По вопросу «Сетевая печать» обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.

Также вы можете выполнить базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.573,0.467,0.136,0.222,9.5e-05,2026-05-12T19:02:34.324480
3,test_2630,Ошибка 'Driver unavailable' при печати.,"Скачайте актуальный драйвер с сайта производителя принтера. Удалите старый драйвер через Диспетчер устройств, затем установите новый.",0.414,0.268,0.038,0.134,0.000234,2026-05-12T19:02:35.030514
3,test_2631,Почему нужно менять пароль раз в 90 дней?,Это требование политики информационной безопасности для снижения риска взлома и несанкционированного доступа к системам.,0.415,0.269,0.106,0.196,0.000197,2026-05-12T19:02:35.601519
3,test_2632,"Получил подозрительное письмо, что делать?",Не открывайте вложения и ссылки из подозрительного письма. Не отвечайте на него. Перешлите письмо в IT-отдел с пометкой «Фишинг» и удалите его после проверки.,0.393,0.241,0.04,0.136,0.000241,2026-05-12T19:02:36.565553
3,test_2305,"Не работает сетевая печать, что делать?","При проблемах с сетевой печатью выполните базовую диагностику: перезапустите приложение или устройство и проверьте подключение. Если это не помогло, создайте заявку в Service Desk с подробным описанием проблемы. Также можно изучить инструкцию в разделе «Принтеры» корпоративной базы знаний или позвонить на горячую линию IT-поддержки.",0.571,0.463,0.129,0.216,0.000313,2026-05-12T19:02:37.677867
3,test_2596,Сколько места нужно для Windows?,Minimum 64 GB for Windows 10/11. Realistic: 128 GB SSD minimum for comfortable use. Recommended: 256 GB+ for OS + programs. Keep 15-20% free space for performance.,0.718,0.647,0.074,0.166,0.000413,2026-05-12T19:02:38.734663
