top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузка.",0.76,0.7,0.065,0.159,0.000602,2026-05-12T18:42:08.375011
3,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT.,0.418,0.273,0.043,0.138,0.000265,2026-05-12T18:42:09.148748
3,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.052,0.147,0.000633,2026-05-12T18:42:09.894590
3,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.088,0.179,0.000668,2026-05-12T18:42:10.675378
3,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.046,0.142,0.000645,2026-05-12T18:42:11.315703
3,test_2612,Не работает копирование/вставка.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.247,0.059,0.032,0.128,0.000588,2026-05-12T18:42:12.605119
3,test_2613,Как очистить историю браузера?,"Чтобы очистить историю браузера, выполните следующие действия:

- В Chrome: нажмите Ctrl+H и выберите «Очистить историю».
- В Firefox: нажмите Ctrl+Shift+Del.
- В Edge: нажмите Ctrl+H и выберите «Очистить данные просмотра». Затем выберите период и типы данных, которые хотите удалить.",0.381,0.226,0.061,0.155,0.000108,2026-05-12T18:42:13.722735
3,test_2614,Не печатается PDF-файл.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.248,0.06,0.022,0.12,0.000257,2026-05-12T18:42:14.812999
3,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.039,0.135,0.000674,2026-05-12T18:42:15.588806
3,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш. Если проблема не устранилась, обратитесь в Service Desk, если она постоянная, или в IT, если проблема у всех пользователей — возможно, проводятся технические работы.",0.368,0.21,0.047,0.142,0.000258,2026-05-12T18:42:16.519053
3,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, откройте нужный раздел (например, «Клиенты», «Сделки», «Задачи»), примените фильтры, если нужно, затем нажмите «Экспорт», выберите формат файла (Excel или CSV), настройте поля для экспорта и сохраните файл. Большие объёмы данных могут экспортироваться долго.",0.294,0.118,0.098,0.188,0.000465,2026-05-12T18:42:17.699318
3,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Или обратитесь в Service Desk для сброса пароля.,0.45,0.312,0.065,0.158,0.000636,2026-05-12T18:42:18.433262
3,test_2619,Как создать правило сортировки писем?,"В Outlook: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.06,0.154,0.000349,2026-05-12T18:42:19.578442
3,test_2620,Как подключить корпоративную почту на телефон?,"Откройте приложение почты, добавьте новую учётную запись, выберите Exchange или Office 365, введите email и пароль. Разрешите настройку устройства, если требуется, и настройте уведомления. Почта начнёт синхронизироваться.

Или:

Перейдите в «Настройки» → «Почта» → «Добавить учётную запись» → «Exchange», введите email и пароль. Сервер настроится автоматически, если нет — обратитесь в IT.",0.393,0.241,0.101,0.191,0.00028,2026-05-12T18:42:20.947445
3,test_2621,Потерял корпоративный телефон.,"Немедленно сообщите в Service Desk и службу безопасности, чтобы они могли заблокировать устройство удалённо. Также рекомендуем сменить пароли и проверить последние действия с устройства.",0.28,0.1,0.039,0.135,0.000277,2026-05-12T18:42:21.875532
3,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, выполните следующие действия: установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.569,0.462,0.135,0.222,0.000688,2026-05-12T18:42:22.811153
3,test_2622,Телефон не синхронизирует контакты.,Проверьте настройки синхронизации в учётной записи Exchange. Включите синхронизацию контактов и попробуйте переподключить учётную запись.,0.331,0.164,0.035,0.132,0.000288,2026-05-12T18:42:23.661482
3,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК находятся в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.03,0.127,0.000313,2026-05-12T18:42:24.538723
3,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.129,0.216,0.000706,2026-05-12T18:42:25.338436
3,test_2624,Медленный интернет.,"Проверьте скорость интернета через speedtest.net. Закройте программы, использующие трафик (например, торренты или обновления). Также проверьте, не перегружена ли сеть в офисе.",0.467,0.333,0.012,0.111,0.000273,2026-05-12T18:42:26.125011
5,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузите компьютер.",0.695,0.619,0.045,0.141,0.000632,2026-05-12T18:42:26.989660
5,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT.,0.418,0.273,0.037,0.133,0.000377,2026-05-12T18:42:27.827979
5,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.037,0.134,0.000291,2026-05-12T18:42:28.692976
5,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.07,0.163,0.000331,2026-05-12T18:42:29.428778
5,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.041,0.136,0.000401,2026-05-12T18:42:30.142239
5,test_2612,Не работает копирование/вставка.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.247,0.059,0.03,0.127,0.000132,2026-05-12T18:42:31.326067
5,test_2613,Как очистить историю браузера?,"Чтобы очистить историю браузера, выполните следующие действия:
- В Chrome: нажмите Ctrl+H и выберите «Очистить историю».
- В Firefox: нажмите Ctrl+Shift+Del.
- В Edge: нажмите Ctrl+H и выберите «Очистить данные просмотра». Затем выберите период и типы данных, которые хотите удалить.",0.381,0.226,0.047,0.142,0.000331,2026-05-12T18:42:32.579447
5,test_2614,Не печатается PDF-файл.,Откройте PDF в Adobe Reader вместо браузера. Обновите драйвер принтера. Попробуйте печать как изображение в настройках принтера.,0.44,0.3,0.03,0.127,0.000327,2026-05-12T18:42:33.333401
5,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.03,0.127,0.000275,2026-05-12T18:42:34.246741
5,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш браузера. Если проблема не решится, обратитесь в Service Desk, особенно если замедление работы CRM постоянное.",0.355,0.194,0.028,0.125,0.000343,2026-05-12T18:42:35.169501
5,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, выполните следующие шаги: откройте нужный раздел (клиенты, сделки, задачи), при необходимости примените фильтры, нажмите «Экспорт», выберите формат (Excel, CSV), настройте поля для экспорта и сохраните файл. Большие объёмы данных могут экспортироваться долго.",0.31,0.137,0.077,0.169,0.000794,2026-05-12T18:42:36.225415
5,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа в CRM. Введите email и следуйте инструкциям в письме. Также вы можете обратиться в Service Desk для сброса пароля.,0.417,0.271,0.05,0.145,0.00046,2026-05-12T18:42:36.987360
5,test_2619,Как создать правило сортировки писем?,"В Outlook: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.054,0.148,0.000301,2026-05-12T18:42:37.814323
5,test_2620,Как подключить корпоративную почту на телефон?,"Откройте приложение почты, добавьте новую учётную запись, выберите Exchange или Office 365, введите email и пароль. Разрешите настройку устройства, если требуется, и настройте уведомления. Почта начнёт синхронизироваться автоматически. 

Или вы можете попробовать другой способ: Настройки → Почта → Добавить учётную запись → Exchange, введите email и пароль, сервер настроится автоматически. Если нет — обратитесь в IT.",0.448,0.31,0.088,0.179,0.000959,2026-05-12T18:42:39.139895
5,test_2621,Потерял корпоративный телефон.,Немедленно сообщите в Service Desk и службу безопасности! Они заблокируют устройство удалённо. Смените пароли и проверьте последние действия с устройства.,0.296,0.12,0.027,0.124,0.000722,2026-05-12T18:42:39.992765
5,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, выполните следующие действия: установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.569,0.462,0.085,0.176,0.000296,2026-05-12T18:42:40.892600
5,test_2622,Телефон не синхронизирует контакты.,Проверьте настройки синхронизации в учётной записи Exchange. Включите синхронизацию контактов и переподключите учётную запись.,0.345,0.182,0.031,0.128,0.000164,2026-05-12T18:42:41.640151
5,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.032,0.129,0.000715,2026-05-12T18:42:42.427411
5,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.103,0.193,0.000604,2026-05-12T18:42:43.092176
5,test_2624,Медленный интернет.,"Проверьте скорость интернета через speedtest.net. Закройте программы, которые используют трафик (например, торренты или обновления). Также проверьте, не перегружена ли сеть в офисе.",0.451,0.314,0.007,0.107,0.00035,2026-05-12T18:42:43.915481
10,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузите компьютер.",0.695,0.619,0.032,0.129,0.000391,2026-05-12T18:42:44.825618
10,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT-отдел.,0.404,0.255,0.038,0.135,0.000377,2026-05-12T18:42:45.740958
10,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.031,0.128,0.000221,2026-05-12T18:42:46.635066
10,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.066,0.159,0.000203,2026-05-12T18:42:47.384314
10,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.028,0.125,0.000359,2026-05-12T18:42:48.172527
10,test_2612,Не работает копирование/вставка.,"Проверьте, не блокирует ли операцию антивирус. Перезапустите проводник Windows через Диспетчер задач. Проверьте работу в других программах.",0.467,0.333,0.027,0.124,0.000508,2026-05-12T18:42:48.925816
10,test_2613,Как очистить историю браузера?,"Для очистки истории в разных браузерах выполните следующие действия:

- В Chrome: нажмите Ctrl+H и выберите «Очистить историю».
- В Firefox: нажмите Ctrl+Shift+Del.
- В Edge: нажмите Ctrl+H и выберите «Очистить данные просмотра». Не забудьте выбрать период и типы данных, которые хотите удалить.",0.381,0.226,0.041,0.137,0.000187,2026-05-12T18:42:50.671067
10,test_2614,Не печатается PDF-файл.,Откройте PDF в Adobe Reader вместо браузера. Обновите драйвер принтера. Попробуйте печать как изображение в настройках принтера.,0.44,0.3,0.024,0.122,0.000326,2026-05-12T18:42:51.589953
10,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.022,0.12,0.000223,2026-05-12T18:42:52.462282
10,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш. Если проблема не решится, обратитесь в Service Desk, особенно если замедление работы CRM постоянное.",0.329,0.161,0.023,0.12,0.000181,2026-05-12T18:42:53.530291
10,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, выполните следующие шаги:

1. Откройте нужный раздел (клиенты, сделки, задачи).
2. Примените фильтры, если нужно.
3. Нажмите «Экспорт», выберите формат (Excel, CSV), настройте поля для экспорта.
4. Сохраните файл. 

Большие объёмы данных могут экспортироваться долго.",0.31,0.137,0.063,0.156,0.000882,2026-05-12T18:42:54.801892
10,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Или обратитесь в Service Desk для сброса пароля.,0.45,0.312,0.033,0.13,0.000546,2026-05-12T18:42:55.557033
10,test_2619,Как создать правило сортировки писем?,"В Outlook для создания правила сортировки писем выполните следующие шаги: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.039,0.135,0.000163,2026-05-12T18:42:56.735150
10,test_2620,Как подключить корпоративную почту на телефон?,"Откройте приложение почты. Добавьте новую учётную запись, выберите Exchange или Office 365. Введите email и пароль, разрешите настройку устройства, если требуется. Почта начнёт синхронизироваться.",0.269,0.086,0.056,0.151,0.000372,2026-05-12T18:42:57.599357
10,test_2621,Потерял корпоративный телефон.,Немедленно сообщите в Service Desk и службу безопасности! Они заблокируют устройство удалённо. Смените пароли и проверьте последние действия с устройства.,0.296,0.12,0.016,0.115,0.000252,2026-05-12T18:42:58.403146
10,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, выполните следующие действия: установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.569,0.462,0.058,0.152,0.00016,2026-05-12T18:42:59.269186
10,test_2622,Телефон не синхронизирует контакты.,Проверьте настройки синхронизации в учётной записи Exchange. Включите синхронизацию контактов и переподключите учётную запись.,0.345,0.182,0.031,0.128,0.000824,2026-05-12T18:42:59.961515
10,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК находятся в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.038,0.134,0.00023,2026-05-12T18:43:00.847400
10,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.072,0.165,0.000375,2026-05-12T18:43:01.541873
10,test_2624,Медленный интернет.,"Проверьте скорость интернета через speedtest.net. Закройте программы, использующие трафик (торренты, обновления). Проверьте, не перегружена ли сеть в офисе.",0.467,0.333,0.006,0.106,0.000818,2026-05-12T18:43:02.520375
