top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузите компьютер.",0.695,0.619,0.065,0.159,0.000249,2026-05-12T18:19:28.430203
3,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT.,0.418,0.273,0.043,0.138,0.000238,2026-05-12T18:19:29.399677
3,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.052,0.147,0.000241,2026-05-12T18:19:30.224219
3,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.088,0.179,0.000253,2026-05-12T18:19:31.261969
3,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.046,0.142,0.000262,2026-05-12T18:19:32.028986
3,test_2612,Не работает копирование/вставка.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.247,0.059,0.032,0.128,0.000238,2026-05-12T18:19:33.453267
3,test_2613,Как очистить историю браузера?,"Для очистки истории браузера используйте следующие комбинации клавиш и действия:
- Chrome: нажмите Ctrl+H, затем выберите «Очистить историю».
- Firefox: нажмите Ctrl+Shift+Del.
- Edge: нажмите Ctrl+H, затем выберите «Очистить данные просмотра». Не забудьте выбрать период и типы данных, которые хотите удалить.",0.366,0.208,0.061,0.155,0.00011,2026-05-12T18:19:34.870610
3,test_2614,Не печатается PDF-файл.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.248,0.06,0.022,0.12,0.000656,2026-05-12T18:19:36.142372
3,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.039,0.135,0.000698,2026-05-12T18:19:37.088856
3,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш. Если проблема не решается, обратитесь в Service Desk или уточните в IT, не проводятся ли технические работы.",0.355,0.194,0.047,0.142,0.000254,2026-05-12T18:19:37.969687
3,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, откройте нужный раздел (например, «Клиенты», «Сделки», «Задачи»), при необходимости примените фильтры, затем нажмите «Экспорт», выберите формат файла (Excel или CSV), настройте поля для экспорта и сохраните файл. Большие объёмы данных могут экспортироваться долго.",0.294,0.118,0.098,0.188,0.000185,2026-05-12T18:19:39.139982
3,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Или обратитесь в Service Desk для сброса пароля.,0.45,0.312,0.065,0.158,0.000268,2026-05-12T18:19:39.883942
3,test_2619,Как создать правило сортировки писем?,"В Outlook: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.06,0.154,0.000357,2026-05-12T18:19:40.968744
