top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2190,"Windows зависает, что делать?","Ответ на вопрос с top_k=3: Windows зависает, что делать?",0.2,0.0,0.5,0.55,4.6e-05,2026-05-12T18:14:49.400425
3,test_2608,Как безопасно удалить файлы?,Ответ на вопрос с top_k=3: Как безопасно удалить файлы?,0.229,0.036,0.5,0.55,3.9e-05,2026-05-12T18:14:49.400525
3,test_2609,Как заказать новое оборудование?,Ответ на вопрос с top_k=3: Как заказать новое оборудование?,0.233,0.041,0.5,0.55,3.1e-05,2026-05-12T18:14:49.400599
3,test_2610,Как создать общую папку для отдела?,Ответ на вопрос с top_k=3: Как создать общую папку для отдела?,0.245,0.057,0.6,0.64,3.1e-05,2026-05-12T18:14:49.400657
3,test_2611,Не открывается PDF-файл.,Ответ на вопрос с top_k=3: Не открывается PDF-файл.,0.216,0.02,0.429,0.486,2.7e-05,2026-05-12T18:14:49.400716
3,test_2612,Не работает копирование/вставка.,Ответ на вопрос с top_k=3: Не работает копирование/вставка.,0.231,0.039,0.429,0.486,2.7e-05,2026-05-12T18:14:49.400778
3,test_2613,Как очистить историю браузера?,Ответ на вопрос с top_k=3: Как очистить историю браузера?,0.245,0.057,0.5,0.55,2.7e-05,2026-05-12T18:14:49.400832
3,test_2614,Не печатается PDF-файл.,Ответ на вопрос с top_k=3: Не печатается PDF-файл.,0.232,0.04,0.429,0.486,2.8e-05,2026-05-12T18:14:49.400885
3,test_2615,Экран стал черным после обновления.,Ответ на вопрос с top_k=3: Экран стал черным после обновления.,0.23,0.038,0.556,0.6,3e-05,2026-05-12T18:14:49.400955
3,test_2616,CRM работает медленно.,Ответ на вопрос с top_k=3: CRM работает медленно.,0.226,0.032,0.429,0.486,2.8e-05,2026-05-12T18:14:49.401011
3,test_2617,Как экспортировать данные из CRM?,Ответ на вопрос с top_k=3: Как экспортировать данные из CRM?,0.247,0.059,0.556,0.6,2.8e-05,2026-05-12T18:14:49.401070
3,test_2618,Забыл пароль от CRM.,Ответ на вопрос с top_k=3: Забыл пароль от CRM.,0.25,0.062,0.5,0.55,2.6e-05,2026-05-12T18:14:49.401124
3,test_2619,Как создать правило сортировки писем?,Ответ на вопрос с top_k=3: Как создать правило сортировки писем?,0.22,0.025,0.556,0.6,2.5e-05,2026-05-12T18:14:49.401182
3,test_2620,Как подключить корпоративную почту на телефон?,Ответ на вопрос с top_k=3: Как подключить корпоративную почту на телефон?,0.241,0.052,0.6,0.64,3.2e-05,2026-05-12T18:14:49.401237
3,test_2621,Потерял корпоративный телефон.,Ответ на вопрос с top_k=3: Потерял корпоративный телефон.,0.216,0.02,0.429,0.486,2.7e-05,2026-05-12T18:14:49.401298
3,test_2210,Как защитить телефон от взлома?,Ответ на вопрос с top_k=3: Как защитить телефон от взлома?,0.2,0.0,0.556,0.6,2.5e-05,2026-05-12T18:14:49.401390
3,test_2622,Телефон не синхронизирует контакты.,Ответ на вопрос с top_k=3: Телефон не синхронизирует контакты.,0.229,0.036,0.5,0.55,2.7e-05,2026-05-12T18:14:49.401442
3,test_2623,Не видны другие компьютеры в сети.,Ответ на вопрос с top_k=3: Не видны другие компьютеры в сети.,0.226,0.033,0.6,0.64,3.2e-05,2026-05-12T18:14:49.401499
3,test_2220,Как сообщить о проблеме с безопасностью?,Ответ на вопрос с top_k=3: Как сообщить о проблеме с безопасностью?,0.253,0.067,0.6,0.64,2e-05,2026-05-12T18:14:49.401562
3,test_2624,Медленный интернет.,Ответ на вопрос с top_k=3: Медленный интернет.,0.2,0.0,0.333,0.4,2.7e-05,2026-05-12T18:14:49.401607
3,test_2625,Как настроить общий доступ к папке в сети?,Ответ на вопрос с top_k=3: Как настроить общий доступ к папке в сети?,0.273,0.091,0.667,0.7,3.1e-05,2026-05-12T18:14:49.401664
3,test_2241,"Не открывается сайт, ошибка 404.","Ответ на вопрос с top_k=3: Не открывается сайт, ошибка 404.",0.2,0.0,0.556,0.6,0.001113,2026-05-12T18:14:49.401721
3,test_2626,Какие часы работы IT-поддержки?,Ответ на вопрос с top_k=3: Какие часы работы IT-поддержки?,0.225,0.031,0.5,0.55,3.6e-05,2026-05-12T18:14:49.402885
3,test_2627,Можно ли хранить рабочие файлы в личном облаке?,Ответ на вопрос с top_k=3: Можно ли хранить рабочие файлы в личном облаке?,0.216,0.02,0.667,0.7,3.2e-05,2026-05-12T18:14:49.402964
3,test_2300,Как решить проблему с замена картриджа?,Ответ на вопрос с top_k=3: Как решить проблему с замена картриджа?,0.233,0.042,0.6,0.64,2.2e-05,2026-05-12T18:14:49.403028
3,test_2302,Как решить проблему с настройка сканирования?,Ответ на вопрос с top_k=3: Как решить проблему с настройка сканирования?,0.233,0.042,0.6,0.64,2.2e-05,2026-05-12T18:14:49.403076
3,test_2628,Какие устройства разрешены для работы?,Ответ на вопрос с top_k=3: Какие устройства разрешены для работы?,0.233,0.042,0.556,0.6,3.3e-05,2026-05-12T18:14:49.403125
3,test_2629,Печать идет медленно.,Ответ на вопрос с top_k=3: Печать идет медленно.,0.2,0.0,0.429,0.486,3.1e-05,2026-05-12T18:14:49.403189
3,test_2304,Как решить проблему с сетевая печать?,Ответ на вопрос с top_k=3: Как решить проблему с сетевая печать?,0.233,0.042,0.6,0.64,2.1e-05,2026-05-12T18:14:49.403250
3,test_2630,Ошибка 'Driver unavailable' при печати.,Ответ на вопрос с top_k=3: Ошибка 'Driver unavailable' при печати.,0.243,0.054,0.556,0.6,2.9e-05,2026-05-12T18:14:49.403304
3,test_2631,Почему нужно менять пароль раз в 90 дней?,Ответ на вопрос с top_k=3: Почему нужно менять пароль раз в 90 дней?,0.215,0.019,0.667,0.7,3.1e-05,2026-05-12T18:14:49.403363
3,test_2632,"Получил подозрительное письмо, что делать?","Ответ на вопрос с top_k=3: Получил подозрительное письмо, что делать?",0.23,0.037,0.556,0.6,2.8e-05,2026-05-12T18:14:49.403425
3,test_2305,"Не работает сетевая печать, что делать?","Ответ на вопрос с top_k=3: Не работает сетевая печать, что делать?",0.267,0.083,0.6,0.64,2.2e-05,2026-05-12T18:14:49.403478
3,test_2596,Сколько места нужно для Windows?,Ответ на вопрос с top_k=3: Сколько места нужно для Windows?,0.2,0.0,0.556,0.6,2.2e-05,2026-05-12T18:14:49.403530
3,test_2633,Как проверить компьютер на вирусы?,Ответ на вопрос с top_k=3: Как проверить компьютер на вирусы?,0.221,0.026,0.556,0.6,2.6e-05,2026-05-12T18:14:49.403581
3,test_2634,Ошибка 'Missing DLL' при запуске.,Ответ на вопрос с top_k=3: Ошибка 'Missing DLL' при запуске.,0.218,0.022,0.556,0.6,3.1e-05,2026-05-12T18:14:49.403636
3,test_2307,"Не работает двусторонняя печать, что делать?","Ответ на вопрос с top_k=3: Не работает двусторонняя печать, что делать?",0.267,0.083,0.6,0.64,2.2e-05,2026-05-12T18:14:49.403697
3,test_2635,Программа работает очень медленно.,Ответ на вопрос с top_k=3: Программа работает очень медленно.,0.229,0.036,0.5,0.55,2.7e-05,2026-05-12T18:14:49.403749
3,test_2636,Программа не сохраняет файлы.,Ответ на вопрос с top_k=3: Программа не сохраняет файлы.,0.222,0.028,0.5,0.55,2.3e-05,2026-05-12T18:14:49.403807
3,test_2637,Компьютер медленно загружается.,Ответ на вопрос с top_k=3: Компьютер медленно загружается.,0.225,0.031,0.429,0.486,2.9e-05,2026-05-12T18:14:49.403859
3,test_2638,Не работает звук на компьютере.,Ответ на вопрос с top_k=3: Не работает звук на компьютере.,0.215,0.019,0.556,0.6,3.6e-05,2026-05-12T18:14:49.403914
3,test_2309,"Не работает цветная печать, что делать?","Ответ на вопрос с top_k=3: Не работает цветная печать, что делать?",0.267,0.083,0.6,0.64,2.2e-05,2026-05-12T18:14:49.403979
3,test_2639,Потерялись файлы с рабочего стола.,Ответ на вопрос с top_k=3: Потерялись файлы с рабочего стола.,0.2,0.0,0.556,0.6,3e-05,2026-05-12T18:14:49.404027
3,test_2310,Как решить проблему с настройка vpn?,Ответ на вопрос с top_k=3: Как решить проблему с настройка vpn?,0.233,0.042,0.6,0.64,2.1e-05,2026-05-12T18:14:49.404089
3,test_2313,"Не работает подключение к wi-fi, что делать?","Ответ на вопрос с top_k=3: Не работает подключение к wi-fi, что делать?",0.296,0.12,0.636,0.673,2.3e-05,2026-05-12T18:14:49.404145
3,test_2315,"Не работает общий доступ к файлам, что делать?","Ответ на вопрос с top_k=3: Не работает общий доступ к файлам, что делать?",0.323,0.154,0.667,0.7,2.3e-05,2026-05-12T18:14:49.404195
3,test_2319,"Не работает dns настройки, что делать?","Ответ на вопрос с top_k=3: Не работает dns настройки, что делать?",0.267,0.083,0.6,0.64,2.2e-05,2026-05-12T18:14:49.404247
