top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2190,"Windows зависает, что делать?","Ответ на вопрос с top_k=3: Windows зависает, что делать?",0.2,0.0,0.5,0.55,4.9e-05,2026-05-12T18:09:11.757296
3,test_2608,Как безопасно удалить файлы?,Ответ на вопрос с top_k=3: Как безопасно удалить файлы?,0.229,0.036,0.5,0.55,3.3e-05,2026-05-12T18:09:11.757394
3,test_2609,Как заказать новое оборудование?,Ответ на вопрос с top_k=3: Как заказать новое оборудование?,0.233,0.041,0.5,0.55,3.2e-05,2026-05-12T18:09:11.757461
3,test_2610,Как создать общую папку для отдела?,Ответ на вопрос с top_k=3: Как создать общую папку для отдела?,0.245,0.057,0.6,0.64,3.5e-05,2026-05-12T18:09:11.757529
3,test_2611,Не открывается PDF-файл.,Ответ на вопрос с top_k=3: Не открывается PDF-файл.,0.216,0.02,0.429,0.486,2.6e-05,2026-05-12T18:09:11.757593
3,test_2612,Не работает копирование/вставка.,Ответ на вопрос с top_k=3: Не работает копирование/вставка.,0.231,0.039,0.429,0.486,2.7e-05,2026-05-12T18:09:11.757649
3,test_2613,Как очистить историю браузера?,Ответ на вопрос с top_k=3: Как очистить историю браузера?,0.245,0.057,0.5,0.55,2.6e-05,2026-05-12T18:09:11.757701
3,test_2614,Не печатается PDF-файл.,Ответ на вопрос с top_k=3: Не печатается PDF-файл.,0.232,0.04,0.429,0.486,2.5e-05,2026-05-12T18:09:11.757753
3,test_2615,Экран стал черным после обновления.,Ответ на вопрос с top_k=3: Экран стал черным после обновления.,0.23,0.038,0.556,0.6,2.7e-05,2026-05-12T18:09:11.757802
3,test_2616,CRM работает медленно.,Ответ на вопрос с top_k=3: CRM работает медленно.,0.226,0.032,0.429,0.486,2.6e-05,2026-05-12T18:09:11.757854
3,test_2617,Как экспортировать данные из CRM?,Ответ на вопрос с top_k=3: Как экспортировать данные из CRM?,0.247,0.059,0.556,0.6,3.8e-05,2026-05-12T18:09:11.757909
3,test_2618,Забыл пароль от CRM.,Ответ на вопрос с top_k=3: Забыл пароль от CRM.,0.25,0.062,0.5,0.55,2.5e-05,2026-05-12T18:09:11.757972
3,test_2619,Как создать правило сортировки писем?,Ответ на вопрос с top_k=3: Как создать правило сортировки писем?,0.22,0.025,0.556,0.6,2.5e-05,2026-05-12T18:09:11.758027
3,test_2620,Как подключить корпоративную почту на телефон?,Ответ на вопрос с top_k=3: Как подключить корпоративную почту на телефон?,0.241,0.052,0.6,0.64,3.6e-05,2026-05-12T18:09:11.758078
3,test_2621,Потерял корпоративный телефон.,Ответ на вопрос с top_k=3: Потерял корпоративный телефон.,0.216,0.02,0.429,0.486,3e-05,2026-05-12T18:09:11.758143
3,test_2210,Как защитить телефон от взлома?,Ответ на вопрос с top_k=3: Как защитить телефон от взлома?,0.2,0.0,0.556,0.6,1.8e-05,2026-05-12T18:09:11.758197
